Bus_ID,BusinessName,AddressLine2,AddressLine3,PostCode,Longitude,Latitude,Cost,Quality,Food_Type_1,Food_Type_2,Food_Type_3
290,The Arches,253 Argyle Street,Glasgow,G2 8DL,-4.258365,55.858383,3,4,Pub/Bar,,
291,The Asmaan Restaurant,22 Bath Street,Glasgow,G2 1HB,-4.253975,55.863703,2,2,Indian,,
292,The Baby Grand,3 Elmbank Gardens,Glasgow,G2 4NQ,-4.270439,55.865108,3,3,Scottish,,
293,The Bank,443 Clarkston Road,Glasgow,G44 3LL,-4.270326,55.810583,2,2,Scottish,,
294,The Bean Bank,102 Main Street,Glasgow,G69 6AE,-4.109489,55.850484,1,2,Chip Shop,,
295,The Blue Chair,85 High Street,Glasgow,G1 1NB,-4.242655,55.858068,2,3,Scottish,American,
296,The Bothy,11 Ruthven Lane,Glasgow,G12 9BG,-4.295154,55.875506,4,4,Scottish,,
297,The Brooklyn Cafe,21 Minard Road,Glasgow,G41 2HR,-4.279491,55.83166,2,3,American,Italian,
298,The Butchers Shop,1055 Sauchiehall Street,Glasgow,G3 7UD,-4.289369,55.86686,4,4,Scottish,,
299,The Butterfly And The Pig,2 Partick Bridge Street,Glasgow,G11 6PL,-4.299887,55.869846,3,3,Scottish,,
300,The Calabash,57 Union Street,Glasgow,G1 3RB,-4.257325,55.859184,3,3,Exotic,,
301,The Chinese Kitchen,140 Sauchiehall Street,Glasgow,G2 3DH,-4.258023,55.865157,2,2,Oriental,,
302,The Chip Shop,1 Scottish Exhibition Centre,Glasgow,G3 8YW,-4.288154,55.86087,2,1,Chip Shop,,
303,The Copper Pot,424 Paisley Road West,Glasgow,G51 1BE,-4.297558,55.851788,2,1,Chip Shop,,
304,The Corinthian,191 Ingram Street,Glasgow,G1 1DQ,-4.250462,55.859606,5,5,Scottish,Pub/Bar,
305,The Dhabba,44 Candleriggs,Glasgow,G1 1LD,-4.245418,55.857757,3,3,Indian,,
306,The Ferry,Anderston Quay,Glasgow,,-4.272767,55.856774,3,4,Scottish,,
307,The Flying Haggis,176 Saracen Street,Glasgow,G22 5EP,-4.253988,55.882666,1,2,Scottish,American,
308,The Gannet,1155 Argyle Street,Glasgow,G3 8TB,-4.285222,55.864816,5,4,Scottish,,
309,The Glasgow Curry Shop,21 Ashton Lane,Glasgow,G12 8SJ,-4.292992,55.87463,2,2,Indian,,
310,The Greek Golden Kebab Rest.,34 Sinclair Drive,Glasgow,G42 9QE,-4.267575,55.82638,2,3,European,,
311,The Grill On The Corner,23 Bothwell Street,Glasgow,G2 6NL,-4.259995,55.86086,4,4,Scottish,,
312,The Hanoi Bike Shop,8 Ruthven Lane,Glasgow,G12 9BG,-4.295154,55.875506,2,3,Oriental,,
313,The Hill,94 Byres Road,Glasgow,G12 8TB,-4.295826,55.873085,3,3,European,,
314,The Italian Caffee Enoteca,92 Albion Street,Glasgow,G1 1NY,-4.243579,55.858573,3,3,Italian,,
315,The Leven Valley,7 Allerdyce Court,Glasgow,,-4.376204,55.902954,2,3,Pub/Bar,,
316,The Manchurian,494 Dumbarton Road,Glasgow,G11 6SL,-4.313494,55.870984,2,3,Oriental,Seafood,
317,The Melting Pot,1206 Shettleston Road,Glasgow,G32 7PG,-4.165839,55.851401,1,1,American,,
318,The Monkey Bar,100 Bath Street,Glasgow,G2 2EN,-4.258163,55.864264,2,2,American,,
319,The New York Kitchen,562 Dumbarton Road,Glasgow,G11 6RH,-4.31597,55.870955,3,3,American,,
320,The Pines,210 Crookston Road,Glasgow,G52 3NF,-4.365228,55.840331,2,2,Pub/Bar,,
321,The Plum Tree,6 Wilson Street,Glasgow,G1 1SS,-4.24667,55.858687,3,2,Scottish,,
322,The Rogano,11 Exchange Place,Glasgow,G1 3AN,-4.253746,55.860022,5,5,Scottish,,
323,The Sisters Kelvingrove,36 Kelvingrove Street,Glasgow,G3 7RZ,-4.283588,55.865844,5,5,Scottish,,
324,The Sisters Restaurant,1 Ashwood Gardens,Glasgow,G13 1NU,-4.325679,55.883894,5,5,Scottish,,
325,The Wee Curry Shop,41 Byres Road,Glasgow,G11 5RG,-4.298699,55.871387,3,4,Indian,Scottish,
326,The Western Club,32 Royal Exchange Square,Glasgow,G1 3AB,-4.252561,55.86052,5,4,European,Scottish,
327,Tibo,443 Duke Street,Glasgow,G31 2LD,-4.221018,55.858883,3,3,Scottish,,
328,Tickled Trout,878 Boclair Road,Glasgow,G62 6EP,-4.286158,55.926417,3,3,Scottish,Pub/Bar,
329,Tiffany's,33 Glassford Street,Glasgow,G1 1UG,-4.249347,55.858566,4,3,Scottish,,
330,Tiki Bar And Kitsch Inn,214 Bath Street,Glasgow,,-4.26368412,55.86469403,3,3,Exotic,,
331,Tinto Tapas Bar,138 Battlefield Road,Glasgow,G42 9JT,-4.265146,55.826083,2,3,European,Vegetarian/Vegan,
332,Tivoli Restaurant,39 Stockwell Street,Glasgow,G1 4RZ,-4.249198,55.856816,1,2,Chip Shop,,
333,Toni Macaroni,10 Byres Road,Glasgow,G11 5JY,-4.298849,55.870674,2,3,Italian,,
334,Tony Macaroni,17 John Street,Glasgow,,-4.24776116,55.86029304,2,3,Italian,,
335,Tony Macaroni,133 West George Street,Glasgow,G2 2JJ,-4.257551,55.862244,2,3,Italian,,
336,Tony Macaroni Too,142 Dumbarton Road,Glasgow,G11 6XE,-4.29999,55.870769,2,3,Italian,,
337,Torres Restaurant,327 Sauchiehall Street,Glasgow,G2 3HW,-4.265169,55.865457,2,2,European,,
338,Trans Euro Cafe,25 Parnie Street,Glasgow,G1 5RJ,-4.245404,55.85614,3,2,Scottish,,
339,Trattoria Gia,17 King Street,Glasgow,G1 5QZ,-4.246222,55.856745,2,2,Italian,,
340,Tribeca,102 Dumbarton Road,Glasgow,G11 6NX,-4.297868,55.870297,4,3,Exotic,,
341,Tropeiro,363 Argyle Street,Glasgow,G2 8LT,-4.263572,55.85862,4,3,Exotic,,
342,Two Fat Ladies,118 Blythswood Street,Glasgow,G2 4EG,-4.261981,55.863961,5,4,Scottish,,
343,Two Fat Ladies,88 Dumbarton Road,Glasgow,G11 6NX,-4.297868,55.870297,5,4,Scottish,,
344,Two Fat Ladies (Buttery) Ltd,654 Argyle Street,Glasgow,G3 8UF,-4.27229,55.860688,5,4,Scottish,,
345,Ubiquitous Chip,26 Ashton Lane,Glasgow,G12 8SJ,-4.292992,55.87463,4,4,Scottish,,
346,Una Storia,35 Ashton Lane,Glasgow,G12 8SJ,-4.292992,55.87463,3,3,Italian,,
347,University Cafe,87 Byres Road,Glasgow,G11 5HN,-4.297794,55.872033,1,1,Scottish,,
348,Up On The Hill,2 Eagle Street,Glasgow,G4 9XA,-4.254236,55.875652,2,2,Italian,American,
349,Urban Bar And Brasserie,25 St Vincent Place,Glasgow,G1 2DT,-4.253106,55.860825,5,4,American,Italian,Scottish
350,Velvet Appetite,69 West Nile Street,Glasgow,G1 2QB,-4.255136,55.862487,3,3,American,,
351,Verona,88 West Regent Street,Glasgow,G2 2TU,-4.257352,55.863506,3,4,Italian,,
352,Villa Toscana,1080 Argyle Street,Glasgow,G3 8LY,-4.283491,55.864741,3,3,Italian,,
353,Village Curry House,129 Nelson Street,Glasgow,,-4.261463,55.85304,2,3,Indian,,
354,Viva,75 Bothwell Street,Glasgow,G2 6TS,-4.261475,55.861031,3,3,Italian,,
355,Viva Brazil,87 Bothwell Street,Glasgow,,-4.2620194,55.86133182,4,3,Exotic,,
356,Vodka Wodka,31 Ashton Lane,Glasgow,G12 8SJ,-4.292992,55.87463,2,2,Italian,American,
357,Wagamama,97 West George Street,Glasgow,G2 1PB,-4.255654,55.862055,3,3,Oriental,,
